CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 140.011719 1635993604.3644
MEM 140.011719 1635993604.4742
MEM 140.011719 1635993604.5839
MEM 140.011719 1635993604.6946
MEM 140.011719 1635993604.8053
MEM 140.011719 1635993604.9150
MEM 140.011719 1635993605.0257
MEM 140.011719 1635993605.1364
MEM 140.011719 1635993605.2460
MEM 140.011719 1635993605.3577
MEM 140.019531 1635993605.4684
MEM 140.167969 1635993605.5791
MEM 140.312500 1635993605.6907
MEM 140.460938 1635993605.8005
MEM 140.601562 1635993605.9102
MEM 140.726562 1635993606.0199
MEM 140.851562 1635993606.1296
MEM 140.976562 1635993606.2403
MEM 141.121094 1635993606.3500
MEM 141.265625 1635993606.4607
MEM 141.347656 1635993606.5704
MEM 141.484375 1635993606.6821
MEM 141.554688 1635993606.7928
MEM 141.703125 1635993606.9035
MEM 141.816406 1635993607.0132
MEM 141.996094 1635993607.1229
MEM 142.093750 1635993607.2346
MEM 142.285156 1635993607.3443
MEM 142.371094 1635993607.4540
MEM 142.589844 1635993607.5647
MEM 142.746094 1635993607.6754
MEM 142.457031 1635993607.7851
MEM 142.457031 1635993607.8948
MEM 142.460938 1635993608.0025
MEM 142.460938 1635993608.1132
MEM 142.460938 1635993608.2240
MEM 142.460938 1635993608.3347
MEM 142.460938 1635993608.4454
MEM 142.460938 1635993608.5551
MEM 142.460938 1635993608.6658
MEM 142.316406 1635993608.7755
MEM 142.316406 1635993608.8862
MEM 142.316406 1635993608.9969
MEM 142.316406 1635993609.1056
MEM 142.316406 1635993609.2153
MEM 142.316406 1635993609.3243
MEM 142.316406 1635993609.4361
MEM 142.449219 1635993609.5457
MEM 142.468750 1635993609.6545
MEM 142.488281 1635993609.7641
MEM 142.507812 1635993609.8748
MEM 142.527344 1635993609.9845
MEM 142.679688 1635993610.0953
MEM 142.832031 1635993610.2050
MEM 142.230469 1635993610.3157
MEM 142.230469 1635993610.4274
MEM 142.230469 1635993610.5391
MEM 142.230469 1635993610.6498
MEM 142.230469 1635993610.7605
MEM 142.230469 1635993610.8702
MEM 142.230469 1635993610.9809
MEM 142.230469 1635993611.0916
MEM 142.230469 1635993611.2013
MEM 142.230469 1635993611.3110
MEM 142.230469 1635993611.4207
MEM 142.230469 1635993611.5305
MEM 142.230469 1635993611.6422
MEM 142.230469 1635993611.7518
MEM 142.246094 1635993611.8636
MEM 142.328125 1635993611.9743
MEM 142.398438 1635993612.0850
MEM 142.406250 1635993612.1957
MEM 142.445312 1635993612.3044
MEM 142.609375 1635993612.4161
MEM 142.683594 1635993612.5258
MEM 142.859375 1635993612.6365
MEM 142.925781 1635993612.7472
MEM 142.796875 1635993612.8572
MEM 142.796875 1635993612.9689
MEM 142.796875 1635993613.0803
MEM 142.796875 1635993613.1920
MEM 142.796875 1635993613.3017
MEM 142.796875 1635993613.4114
MEM 142.796875 1635993613.5221
MEM 142.796875 1635993613.6328
MEM 142.796875 1635993613.7425
MEM 142.796875 1635993613.8522
MEM 142.796875 1635993613.9619
MEM 142.796875 1635993614.0697
MEM 142.796875 1635993614.1804
MEM 142.796875 1635993614.2911
MEM 142.796875 1635993614.4017
MEM 142.812500 1635993614.5124
MEM 142.875000 1635993614.6231
MEM 142.937500 1635993614.7329
MEM 142.937500 1635993614.8436
MEM 142.937500 1635993614.9533
MEM 142.937500 1635993615.0640
MEM 142.937500 1635993615.1737
MEM 142.937500 1635993615.2834
MEM 142.562500 1635993615.3951
MEM 142.562500 1635993615.5048
MEM 142.562500 1635993615.6145
MEM 142.562500 1635993615.7262
MEM 142.562500 1635993615.8339
MEM 142.562500 1635993615.9436
MEM 142.562500 1635993616.0533
MEM 142.562500 1635993616.1641
MEM 142.562500 1635993616.2748
MEM 142.562500 1635993616.3845
MEM 142.312500 1635993616.4951
MEM 142.312500 1635993616.6058
MEM 142.312500 1635993616.7155
MEM 142.312500 1635993616.8262
MEM 142.312500 1635993616.9373
MEM 142.351562 1635993617.0490
MEM 142.414062 1635993617.1567
MEM 142.476562 1635993617.2684
MEM 142.488281 1635993617.3781
MEM 142.507812 1635993617.4878
MEM 142.531250 1635993617.5995
MEM 142.675781 1635993617.7072
MEM 142.820312 1635993617.8170
MEM 142.964844 1635993617.9276
MEM 142.964844 1635993618.0373
MEM 142.964844 1635993618.1490
MEM 142.964844 1635993618.2597
MEM 142.964844 1635993618.3705
MEM 142.964844 1635993618.4812
MEM 142.964844 1635993618.5909
MEM 142.964844 1635993618.7006
MEM 142.964844 1635993618.8113
MEM 142.964844 1635993618.9220
MEM 142.964844 1635993619.0327
MEM 142.964844 1635993619.1424
