CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 1.718750 1635993453.3516
MEM 17.718750 1635993453.4613
MEM 25.093750 1635993453.5700
MEM 31.730469 1635993453.6797
MEM 37.628906 1635993453.7894
MEM 45.226562 1635993453.9005
MEM 47.457031 1635993454.0108
MEM 47.781250 1635993454.1220
MEM 49.261719 1635993454.2329
MEM 50.445312 1635993454.3404
MEM 51.113281 1635993454.4506
MEM 52.144531 1635993454.5619
MEM 52.585938 1635993454.6726
MEM 53.769531 1635993454.7843
MEM 54.734375 1635993454.8951
MEM 56.378906 1635993455.0060
MEM 57.308594 1635993455.1143
MEM 58.347656 1635993455.2242
MEM 59.714844 1635993455.3345
MEM 60.953125 1635993455.4449
MEM 62.156250 1635993455.5547
MEM 63.019531 1635993455.6660
MEM 63.542969 1635993455.7767
MEM 64.410156 1635993455.8884
MEM 65.593750 1635993455.9993
MEM 66.800781 1635993456.1105
MEM 67.777344 1635993456.2221
MEM 68.718750 1635993456.3328
MEM 70.593750 1635993456.4424
MEM 71.593750 1635993456.5537
MEM 72.699219 1635993456.6640
MEM 74.210938 1635993456.7734
MEM 75.210938 1635993456.8844
MEM 75.769531 1635993456.9951
MEM 76.175781 1635993457.1058
MEM 77.664062 1635993457.2155
MEM 78.242188 1635993457.3256
MEM 79.351562 1635993457.4373
MEM 80.132812 1635993457.5467
MEM 84.148438 1635993457.6561
MEM 85.875000 1635993457.7664
MEM 89.007812 1635993457.8765
MEM 91.265625 1635993457.9865
MEM 91.710938 1635993458.0967
MEM 92.304688 1635993458.2074
MEM 92.886719 1635993458.3178
MEM 94.765625 1635993458.4271
MEM 95.660156 1635993458.5355
MEM 98.058594 1635993458.6470
MEM 98.542969 1635993458.7563
MEM 99.175781 1635993458.8656
MEM 99.757812 1635993458.9736
MEM 100.363281 1635993459.0842
MEM 100.898438 1635993459.1947
MEM 101.632812 1635993459.3037
MEM 102.839844 1635993459.4145
MEM 103.390625 1635993459.5260
MEM 104.191406 1635993459.6354
MEM 104.882812 1635993459.7453
MEM 105.972656 1635993459.8552
MEM 106.578125 1635993459.9652
MEM 107.917969 1635993460.0749
MEM 108.593750 1635993460.1855
MEM 110.078125 1635993460.2943
MEM 111.082031 1635993460.4050
MEM 111.421875 1635993460.5158
MEM 111.843750 1635993460.6257
MEM 112.289062 1635993460.7355
MEM 113.171875 1635993460.8466
MEM 113.593750 1635993460.9564
MEM 114.179688 1635993461.0654
MEM 114.675781 1635993461.1767
MEM 115.339844 1635993461.2876
MEM 115.636719 1635993461.3970
MEM 116.199219 1635993461.5072
MEM 117.664062 1635993461.6165
MEM 118.523438 1635993461.7269
MEM 119.601562 1635993461.8366
MEM 121.652344 1635993461.9468
MEM 122.980469 1635993462.0583
MEM 124.003906 1635993462.1687
MEM 125.398438 1635993462.2784
MEM 126.210938 1635993462.3888
MEM 148.976562 1635993462.4985
MEM 163.207031 1635993462.6082
MEM 176.757812 1635993462.7179
MEM 189.882812 1635993462.8296
MEM 205.566406 1635993462.9413
MEM 216.812500 1635993463.0530
MEM 229.242188 1635993463.1647
MEM 241.460938 1635993463.2754
MEM 252.824219 1635993463.3851
MEM 266.031250 1635993463.4958
MEM 281.003906 1635993463.6075
MEM 298.464844 1635993463.7182
MEM 312.175781 1635993463.8289
MEM 310.546875 1635993463.9397
MEM 370.738281 1635993464.0507
MEM 519.703125 1635993464.1604
MEM 586.792969 1635993464.2701
MEM 566.386719 1635993464.3815
MEM 541.640625 1635993464.4932
MEM 520.039062 1635993464.6049
MEM 471.761719 1635993464.7166
MEM 183.750000 1635993464.8283
MEM 182.695312 1635993464.9380
MEM 204.683594 1635993465.0497
MEM 189.167969 1635993465.1615
MEM 193.218750 1635993465.2732
MEM 233.582031 1635993465.3849
MEM 236.148438 1635993465.4966
MEM 337.175781 1635993465.6083
MEM 309.796875 1635993465.7170
MEM 275.921875 1635993465.8277
MEM 265.476562 1635993465.9384
MEM 233.914062 1635993466.0481
MEM 208.199219 1635993466.1578
MEM 194.910156 1635993466.2695
MEM 185.718750 1635993466.3812
MEM 355.410156 1635993466.4933
MEM 156.476562 1635993466.6050
MEM 223.886719 1635993466.7127
MEM 157.687500 1635993466.8239
MEM 261.472656 1635993466.9356
MEM 261.925781 1635993467.0473
MEM 38.218750 1635993467.1560
MEM 40.996094 1635993467.2653
MEM 43.285156 1635993467.3731
MEM 46.187500 1635993467.4835
MEM 47.085938 1635993467.5922
MEM 47.097656 1635993467.7019
MEM 47.097656 1635993467.8126
MEM 47.097656 1635993467.9223
MEM 47.097656 1635993468.0330
MEM 47.097656 1635993468.1447
MEM 47.097656 1635993468.2554
MEM 47.097656 1635993468.3661
MEM 47.199219 1635993468.4758
MEM 47.199219 1635993468.5855
MEM 47.199219 1635993468.6972
MEM 47.199219 1635993468.8089
MEM 47.199219 1635993468.9186
MEM 47.296875 1635993469.0281
MEM 47.308594 1635993469.1379
MEM 47.308594 1635993469.2476
MEM 47.578125 1635993469.3586
MEM 47.671875 1635993469.4704
MEM 47.812500 1635993469.5801
MEM 47.964844 1635993469.6918
MEM 48.089844 1635993469.8025
MEM 48.214844 1635993469.9121
MEM 48.339844 1635993470.0228
MEM 48.484375 1635993470.1346
MEM 48.628906 1635993470.2463
MEM 48.710938 1635993470.3579
